Unnamed: 0,'S_Valuation'!B,Unnamed: 2,<,Unnamed: 4,'S_Valuation'!F,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,'S_Valuation'!S,'S_Valuation'!T,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,'S_Valuation'!AH,'S_Valuation'!G,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,C42,D42,E42,F42,G42,H42,I42,J42
,,,,결산,,PER (1),PER (2),PER (3),PER (4),PER (5),<,PER,,,,,,>,,,<,F-4 ~ F+3,,,,,>,<,F-4 ~ F 0,>,<,BPS,>,,PBR (1),PBR (2),PBR (3),PBR (4),PBR (5),PBR,,,,,,,
,Ticker,Corp,Exchange,FY 0,PER,PER (MIN),PER (Min∼Avg),PER (Avg),PER (Avg∼Max),PER (MAX),FY-4,FY-3,FY-2,FY-1,FY 0,FY+1,FY+2,FY+3,성장률,Pick,"Avg (7,3)",Sales (7),Sales (3),OP (7),OP (3),EPS (7),EPS (3),Sales (4),OP (4),EPS (4),BPS (7),BPS (3),BPS (4),PBR,PBR (MIN),PBR (Min∼Avg),PBR (Avg),PBR (Avg∼Max),PBR (MAX),FY-4,FY-3,FY-2,FY-1,FY 0,FY+1,FY+2,FY+3
,NVDA,NVIDIA,NASDAQ,45658,55.01249999999999,25.46,40.23625,55.01249999999999,83.57124999999999,112.13,75.33,63.65,112.13,51.56,40.86,41.77,29.34,25.46,0.3489879392813709,Sales (3),0.5098235361398766,0.5253361221720296,0.3489879392813709,0.733908503714471,0.37886585581699617,0.7134040740535568,0.3584387218008353,0.672567567902093,1.058990277133562,1.0392693987068093,0.5521712499563318,0.6577299444231655,0.47743718151635706,24.59,12.71,18.65,24.59,30.82,37.05,19.07,23.06,21.8,35.27,37.05,30.4,17.36,12.71
,NVDA,NVIDIA,NASDAQ,45658,46.85285714285713,25.46,36.15642857142856,46.85285714285713,61.091428571428565,75.33,75.33,63.65,,51.56,40.86,41.77,29.34,25.46,0.3489879392813709,Sales (3),0.5098235361398766,0.5253361221720296,0.3489879392813709,0.733908503714471,0.37886585581699617,0.7134040740535568,0.3584387218008353,0.672567567902093,1.058990277133562,1.0392693987068093,0.5521712499563318,0.6577299444231655,0.47743718151635706,24.59,12.71,18.65,24.59,30.82,37.05,19.07,23.06,21.8,35.27,37.05,30.4,17.36,12.71
,NVO,Novo-Nordisk ADR repsg 1 B,NYSE,45627,25.827499999999997,13.13,19.478749999999998,25.827499999999997,32.46875,39.11,25.31,33.96,39.11,38.27,26.2,16.01,14.63,13.13,0.10507438331362516,Sales (3),0.141695496388946,0.16556956488046728,0.10507438331362516,0.17249988028994276,0.10713125023595237,0.18544769134264763,0.11445020827104067,0.2131045006512316,0.22404696165880614,0.24164856037247376,0.2232542015715772,0.32353306709779944,0.1530633174582776,15.797500000000001,5.73,10.763750000000002,15.797500000000001,22.51375,29.23,13.74,20.79,22.31,29.23,19.18,8.5,6.9,5.73
,NVO,Novo-Nordisk ADR repsg 1 B,NYSE,45627,25.827499999999997,13.13,19.478749999999998,25.827499999999997,32.46875,39.11,25.31,33.96,39.11,38.27,26.2,16.01,14.63,13.13,0.10507438331362516,Sales (3),0.141695496388946,0.16556956488046728,0.10507438331362516,0.17249988028994276,0.10713125023595237,0.18544769134264763,0.11445020827104067,0.2131045006512316,0.22404696165880614,0.24164856037247376,0.2232542015715772,0.32353306709779944,0.1530633174582776,15.797500000000001,5.73,10.763750000000002,15.797500000000001,22.51375,29.23,13.74,20.79,22.31,29.23,19.18,8.5,6.9,5.73
,MRK,Merck & Co,NYSE,45627,108.185,8.34,58.2625,108.185,434.4575,760.73,28.05,14.91,19.43,760.73,14.77,10,9.25,8.34,0.03893618379560692,Sales (3),0.16114255972488767,0.08173589768434188,0.03893618379560692,0.30203275674156943,0.1657863954197474,0.2121652906373148,0.1661988340707456,0.11498883786775177,0.41456890137007135,0.2478252664724452,0.18946179803328841,0.22552083446489407,0.16311551250405204,5.14,2.64,3.8899999999999997,5.14,6.47,7.8,7.8,5.07,6.12,7.34,5.43,3.74,2.98,2.64
,MRK,Merck & Co,NYSE,45627,14.964285714285714,8.34,11.652142857142856,14.964285714285714,21.507142857142856,28.05,28.05,14.91,19.43,,14.77,10,9.25,8.34,0.03893618379560692,Sales (3),0.16114255972488767,0.08173589768434188,0.03893618379560692,0.30203275674156943,0.1657863954197474,0.2121652906373148,0.1661988340707456,0.11498883786775177,0.41456890137007135,0.2478252664724452,0.18946179803328841,0.22552083446489407,0.16311551250405204,5.14,2.64,3.8899999999999997,5.14,6.47,7.8,7.8,5.07,6.12,7.34,5.43,3.74,2.98,2.64
,AZN,AstraZeneca ADR Representing 0.5,NASDAQ,45627,109.70249999999997,14.56,62.13124999999999,109.70249999999997,425.91625,742.13,20.54,742.13,32.17,17.67,14.56,19.14,16.74,14.67,0.06537781503625781,Sales (3),0.16351425314556206,0.13700338650607824,0.06537781503625781,0.2375064119578604,0.3187829148099072,0.13289093458821954,0.0895240559750492,0.19386532923381286,0.179853450975711,0.1665451705268396,0.07691352978366855,-0.08738903632427567,0.219276481371618,3.6937499999999996,2.3,2.9968749999999997,3.6937499999999996,4.726875,5.76,4.2,2.3,2.84,2.67,2.49,5.76,5.02,4.27
,AZN,AstraZeneca ADR Representing 0.5,NASDAQ,45627,19.35571428571428,14.56,16.95785714285714,19.35571428571428,25.762857142857143,32.17,20.54,,32.17,17.67,14.56,19.14,16.74,14.67,0.06537781503625781,Sales (3),0.16351425314556206,0.13700338650607824,0.06537781503625781,0.2375064119578604,0.3187829148099072,0.13289093458821954,0.0895240559750492,0.19386532923381286,0.179853450975711,0.1665451705268396,0.07691352978366855,-0.08738903632427567,0.219276481371618,3.6937499999999996,2.3,2.9968749999999997,3.6937499999999996,4.726875,5.76,4.2,2.3,2.84,2.67,2.49,5.76,5.02,4.27
,AMD,Advanced Micro Devices,NASDAQ,45627,83.7525,21.67,52.71125,83.7525,182.12125,280.49,44.46,55.93,77.09,280.49,120.5,42.17,27.71,21.67,0.22794191572294126,Sales (3),0.5004764306377726,0.25450935064959124,0.22794191572294126,0.4023132123047713,0.9469842770011734,0.20501468316543422,0.9660951449827242,0.2748114678384916,0.09636954209027641,-0.16529465420927178,0.37762320400978516,0.08547059015136638,0.647269814621221,7.94625,1.91,4.928125,7.94625,15.558125,23.17,19.03,23.17,1.91,4.26,3.4,4.31,3.86,3.63
,AMD,Advanced Micro Devices,NASDAQ,45627,44.83833333333334,21.67,33.25416666666667,44.83833333333334,60.96416666666667,77.09,44.46,55.93,77.09,,,42.17,27.71,21.67,0.22794191572294126,Sales (3),0.5004764306377726,0.25450935064959124,0.22794191572294126,0.4023132123047713,0.9469842770011734,0.20501468316543422,0.9660951449827242,0.2748114678384916,0.09636954209027641,-0.16529465420927178,0.37762320400978516,0.08547059015136638,0.647269814621221,7.94625,1.91,4.928125,7.94625,15.558125,23.17,19.03,23.17,1.91,4.26,3.4,4.31,3.86,3.63
,LULU,lululemon athletica,NASDAQ,45658,33.62875,12.71,23.169375,33.62875,53.334375,73.04,73.04,44.59,45.96,37.2,28.29,13.56,13.68,12.71,0.046046404271696664,Sales (3),0.07964562485070077,0.1556623477236502,0.046046404271696664,0.15562469862038097,-0.034282360557016285,0.17385281842688916,-0.01903015938139605,0.24534870534548572,0.3221837144025097,0.34301895039837693,0.1663505435118877,0.18993607918949953,0.14896868880779382,10.34125,3.05,6.695625,10.34125,13.545625000000001,16.75,16.75,16.29,12.91,14.08,12.11,4.09,3.45,3.05
,LULU,lululemon athletica,NASDAQ,45658,27.998571428571434,12.71,20.354285714285716,27.998571428571434,36.979285714285716,45.96,,44.59,45.96,37.2,28.29,13.56,13.68,12.71,0.046046404271696664,Sales (3),0.07964562485070077,0.1556623477236502,0.046046404271696664,0.15562469862038097,-0.034282360557016285,0.17385281842688916,-0.01903015938139605,0.24534870534548572,0.3221837144025097,0.34301895039837693,0.1663505435118877,0.18993607918949953,0.14896868880779382,10.34125,3.05,6.695625,10.34125,13.545625000000001,16.75,16.75,16.29,12.91,14.08,12.11,4.09,3.45,3.05
,SMCI,Super Micro Computer,NASDAQ,45809,20.876249999999995,7.59,14.233124999999998,20.876249999999995,31.838124999999998,42.8,16.83,7.59,21.8,42.8,29.36,20.26,16.08,12.29,0.2953379409047638,Sales (3),0.4331273452333022,0.44921749821199647,0.2953379409047638,0.5865064181519173,0.3688715178885276,0.535688069691854,0.363142626550754,0.5765089161188257,0.7721529130727998,0.6792845568159547,0.35702814933674876,0.20121878475638325,0.487010080095435,4.18875,1.48,2.8343749999999996,4.18875,6.539375,8.89,1.62,1.48,6.69,8.89,4.62,4.14,3.24,2.83
,SMCI,Super Micro Computer,NASDAQ,45809,20.876249999999995,7.59,14.233124999999998,20.876249999999995,31.838124999999998,42.8,16.83,7.59,21.8,42.8,29.36,20.26,16.08,12.29,0.2953379409047638,Sales (3),0.4331273452333022,0.44921749821199647,0.2953379409047638,0.5865064181519173,0.3688715178885276,0.535688069691854,0.363142626550754,0.5765089161188257,0.7721529130727998,0.6792845568159547,0.35702814933674876,0.20121878475638325,0.487010080095435,4.18875,1.48,2.8343749999999996,4.18875,6.539375,8.89,1.62,1.48,6.69,8.89,4.62,4.14,3.24,2.83
,RPRX,Royalty Pharma Class A Shs,NASDAQ,45627,64.43249999999999,6.79,35.61125,64.43249999999999,234.26125,404.09,37.95,26.67,404.09,11.09,13.34,8.01,7.52,6.79,0.06423433035749972,Sales (7),0.2005963613695558,0.06423433035749972,0.1316442887876357,0.08687731385128228,0.29470800108279255,0.22000071238250546,0.4061135217556191,0.016325355859146413,-0.04679339515935418,0.09676822298262831,0.21575254029628227,0.38274150512535543,0.10388371293712415,2.9825,1.16,2.07125,2.9825,4.64625,6.31,6.31,4.19,4.26,2.57,2.16,1.68,1.53,1.16
,RPRX,Royalty Pharma Class A Shs,NASDAQ,45627,15.910000000000002,6.79,11.350000000000001,15.910000000000002,26.930000000000003,37.95,37.95,26.67,,11.09,13.34,8.01,7.52,6.79,0.06423433035749972,Sales (7),0.2005963613695558,0.06423433035749972,0.1316442887876357,0.08687731385128228,0.29470800108279255,0.22000071238250546,0.4061135217556191,0.016325355859146413,-0.04679339515935418,0.09676822298262831,0.21575254029628227,0.38274150512535543,0.10388371293712415,2.9825,1.16,2.07125,2.9825,4.64625,6.31,6.31,4.19,4.26,2.57,2.16,1.68,1.53,1.16
,DECK,Deckers Outdoor,NYSE,45717,19.8275,13.05,16.43875,19.8275,26.05375,32.28,24.53,16.83,23.21,32.28,17.67,16.25,14.8,13.05,0.08796969541848881,Sales (3),0.11832423598875241,0.14127955846201107,0.08796969541848881,0.1541638079827002,0.05259902731057009,0.19728353577036323,0.07664979098838098,0.18296928527655315,0.23671838535248035,0.2965489652896285,0.1904098512675794,0.20400688433737418,0.1803129410308624,6.1137500000000005,3.53,4.821875,6.1137500000000005,8.771875,11.43,6.39,4.8,6.66,11.43,6.68,5.2,4.22,3.53
,DECK,Deckers Outdoor,NYSE,45717,19.8275,13.05,16.43875,19.8275,26.05375,32.28,24.53,16.83,23.21,32.28,17.67,16.25,14.8,13.05,0.08796969541848881,Sales (3),0.11832423598875241,0.14127955846201107,0.08796969541848881,0.1541638079827002,0.05259902731057009,0.19728353577036323,0.07664979098838098,0.18296928527655315,0.23671838535248035,0.2965489652896285,0.1904098512675794,0.20400688433737418,0.1803129410308624,6.1137500000000005,3.53,4.821875,6.1137500000000005,8.771875,11.43,6.39,4.8,6.66,11.43,6.68,5.2,4.22,3.53
,BMRN,BioMarin Pharmaceutical,NASDAQ,45627,48.11285714285714,10.62,29.366428571428568,48.11285714285714,93.12642857142856,138.14,19.56,,138.14,110.19,29.78,16.04,12.46,10.62,0.09323318164766099,Sales (3),0.18368094092556567,0.10447071635768174,0.09323318164766099,#N/A OP (7),0.36686105519154016,0.022079414382855395,0.33176033704809,0.11297460779454625,#N/A OP (4),-0.16193333798861875,0.10408951367381258,0.15060174047132704,0.07044344967157916,2.77,1.23,2,2.77,3.4800000000000004,4.19,3.88,3.8,4.19,3.67,2.22,1.7,1.47,1.23
,BMRN,BioMarin Pharmaceutical,NASDAQ,45627,17.692,10.62,14.155999999999999,17.692,23.736,29.78,19.56,,,,29.78,16.04,12.46,10.62,0.09323318164766099,Sales (3),0.18368094092556567,0.10447071635768174,0.09323318164766099,#N/A OP (7),0.36686105519154016,0.022079414382855395,0.33176033704809,0.11297460779454625,#N/A OP (4),-0.16193333798861875,0.10408951367381258,0.15060174047132704,0.07044344967157916,2.77,1.23,2,2.77,3.4800000000000004,4.19,3.88,3.8,4.19,3.67,2.22,1.7,1.47,1.23
,005930.KS,삼성전자,KOSPI,45627,16.97125,6.86,11.915625,16.97125,26.905625,36.84,21.09,13.55,6.86,36.84,10.75,19.36,14.23,13.09,0.06545424418096889,Sales (7),0.09186884741062673,0.06545424418096889,0.07049832547101201,0.053303989183710744,0.16520952886883303,0.08504293614135239,0.11170406061788339,0.06168678657691957,-0.023514036106708425,0.06546753923536892,0.09335035833173656,0.08275626254507847,0.10136389953915684,1.42,0.92,1.17,1.42,1.74,2.06,2.06,1.8,1.09,1.51,0.92,1.44,1.33,1.21
,005930.KS,삼성전자,KOSPI,45627,14.132857142857144,6.86,10.496428571428572,14.132857142857144,17.611428571428572,21.09,21.09,13.55,6.86,,10.75,19.36,14.23,13.09,0.06545424418096889,Sales (7),0.09186884741062673,0.06545424418096889,0.07049832547101201,0.053303989183710744,0.16520952886883303,0.08504293614135239,0.11170406061788339,0.06168678657691957,-0.023514036106708425,0.06546753923536892,0.09335035833173656,0.08275626254507847,0.10136389953915684,1.42,0.92,1.17,1.42,1.74,2.06,2.06,1.8,1.09,1.51,0.92,1.44,1.33,1.21
,068270.KS,셀트리온,KOSPI,45627,56.40125,26.52,41.460625,56.40125,78.730625,101.06,95.67,48.14,43.69,55.43,101.06,48.78,31.92,26.52,0.18319187091593558,Sales (7),0.29429145068853113,0.18319187091593558,0.19053467462209614,0.15406569650103427,0.5850584384933646,0.10613188254496907,0.546766141053787,0.17771450359836308,-0.09036016137682278,-0.1398115623854425,0.23774635750612902,0.06295669610573948,0.38745440649486323,4.8,1.88,3.34,4.8,9.834999999999999,14.87,14.87,7.07,5.57,2.52,2.32,2.15,2.02,1.88
,068270.KS,셀트리온,KOSPI,45627,42.413333333333334,26.52,34.46666666666667,42.413333333333334,48.92166666666667,55.43,,48.14,43.69,55.43,,48.78,31.92,26.52,0.18319187091593558,Sales (7),0.29429145068853113,0.18319187091593558,0.19053467462209614,0.15406569650103427,0.5850584384933646,0.10613188254496907,0.546766141053787,0.17771450359836308,-0.09036016137682278,-0.1398115623854425,0.23774635750612902,0.06295669610573948,0.38745440649486323,2.7433333333333336,1.88,2.3116666666666665,2.7433333333333336,4.156666666666667,5.57,,,5.57,2.52,2.32,2.15,2.02,1.88
,005380.KS,현대차,KOSPI,45627,9.953750000000001,4.6,7.276875,9.953750000000001,23.641875,37.33,37.33,11.71,5.68,4.67,4.6,5.3,5.33,5.01,0.039309116721618735,Sales (3),0.1223921098873652,0.09533268410253419,0.039309116721618735,0.2781108230465757,-0.02146213126656118,0.3585700868491595,-0.015507920129135799,0.13932343222394183,0.5615707620223641,0.7297542807113215,0.09644153819839557,0.0713635844112321,0.11563448446720528,0.54875,0.43,0.489375,0.54875,0.6343749999999999,0.72,0.72,0.72,0.48,0.58,0.51,0.49,0.46,0.43
,005380.KS,현대차,KOSPI,45627,6.042857142857144,4.6,5.321428571428571,6.042857142857144,8.876428571428573,11.71,,11.71,5.68,4.67,4.6,5.3,5.33,5.01,0.039309116721618735,Sales (3),0.1223921098873652,0.09533268410253419,0.039309116721618735,0.2781108230465757,-0.02146213126656118,0.3585700868491595,-0.015507920129135799,0.13932343222394183,0.5615707620223641,0.7297542807113215,0.09644153819839557,0.0713635844112321,0.11563448446720528,0.54875,0.43,0.489375,0.54875,0.6343749999999999,0.72,0.72,0.72,0.48,0.58,0.51,0.49,0.46,0.43
,003490.KS,대한항공,KOSPI,45627,7.6428571428571415,4.78,6.211428571428571,7.6428571428571415,11.526428571428571,15.41,,15.41,4.78,8.32,6.34,6.3,6.59,5.76,0.13468451638141343,Sales (3),0.19216817292298147,0.19255689731784598,0.13468451638141343,0.5559197414778885,0.039271011861996656,#N/A EPS (7),0.03840869757576287,0.2378901108402591,1.1058671704630643,#N/A EPS (4),0.1465823309681577,0.09134550998005894,0.1898370252363629,0.965,0.62,0.7925,0.965,1.2425,1.52,1.49,1.52,0.94,0.93,0.8,0.74,0.68,0.62
,003490.KS,대한항공,KOSPI,45627,6.348333333333333,4.78,5.564166666666667,6.348333333333333,7.3341666666666665,8.32,,,4.78,8.32,6.34,6.3,6.59,5.76,0.13468451638141343,Sales (3),0.19216817292298147,0.19255689731784598,0.13468451638141343,0.5559197414778885,0.039271011861996656,#N/A EPS (7),0.03840869757576287,0.2378901108402591,1.1058671704630643,#N/A EPS (4),0.1465823309681577,0.09134550998005894,0.1898370252363629,0.965,0.62,0.7925,0.965,1.2425,1.52,1.49,1.52,0.94,0.93,0.8,0.74,0.68,0.62
,028670.KS,팬오션,KOSPI,45627,8.5525,4.52,6.53625,8.5525,18.77625,29,29,5.26,4.52,8.15,6.58,5.36,5.02,4.53,0.0511332282376519,Sales (3),0.13815112729387294,0.13324648240199657,0.0511332282376519,0.1416943927459693,0.06513353985585557,0.2523830113622998,0.18531610915946453,0.19901423887157293,0.20270529752454414,0.3051619481805917,0.13107936655812966,0.055430904945999636,0.1913531972623317,0.51625,0.3,0.40812499999999996,0.51625,0.7381249999999999,0.96,0.96,0.8,0.68,0.42,0.31,0.34,0.32,0.3
,028670.KS,팬오션,KOSPI,45627,5.631428571428572,4.52,5.075714285714286,5.631428571428572,6.890714285714286,8.15,,5.26,4.52,8.15,6.58,5.36,5.02,4.53,0.0511332282376519,Sales (3),0.13815112729387294,0.13324648240199657,0.0511332282376519,0.1416943927459693,0.06513353985585557,0.2523830113622998,0.18531610915946453,0.19901423887157293,0.20270529752454414,0.3051619481805917,0.13107936655812966,0.055430904945999636,0.1913531972623317,0.51625,0.3,0.40812499999999996,0.51625,0.7381249999999999,0.96,0.96,0.8,0.68,0.42,0.31,0.34,0.32,0.3
,128940.KS,한미약품,KOSPI,45627,75.065,20.67,47.8675,75.065,223.0725,371.08,371.08,50.83,45.24,30.88,29.62,27.98,24.22,20.67,0.07595292524776383,Sales (3),0.22000947643828692,0.08157423155199109,0.07595292524776383,0.30116398155543944,0.12690733727196202,0.5155254171168149,0.21893296588575017,0.08580947595730033,0.44932205927871066,0.784435175716862,0.12138994729123742,0.14331811023883348,0.10522026737871469,4.01,2.77,3.3899999999999997,4.01,5.025,6.04,6.04,4.21,4.26,4.68,3.28,3.65,3.19,2.77
,128940.KS,한미약품,KOSPI,45627,32.777142857142856,20.67,26.72357142857143,32.777142857142856,41.80357142857143,50.83,,50.83,45.24,30.88,29.62,27.98,24.22,20.67,0.07595292524776383,Sales (3),0.22000947643828692,0.08157423155199109,0.07595292524776383,0.30116398155543944,0.12690733727196202,0.5155254171168149,0.21893296588575017,0.08580947595730033,0.44932205927871066,0.784435175716862,0.12138994729123742,0.14331811023883348,0.10522026737871469,4.01,2.77,3.3899999999999997,4.01,5.025,6.04,6.04,4.21,4.26,4.68,3.28,3.65,3.19,2.77
,112610.KS,씨에스윈드,KOSPI,45627,231.81500000000003,6.55,119.18250000000002,231.81500000000003,876.4725000000001,1521.13,104.75,41.04,1521.13,152.75,12.42,8.13,7.75,6.55,0.08278641141959163,Sales (3),0.21032641566366908,0.2200934576833904,0.08278641141959163,0.21994824392020665,0.1538506141073453,0.33920235776225066,0.24607740908922993,0.3343839957061331,0.27199461199523595,0.41358553458343433,0.20541444526924027,0.14707697725724084,0.2511064494483407,2.8075000000000006,1.02,1.9137500000000003,2.8075000000000006,5.3187500000000005,7.83,7.83,3.1,3.24,3.24,1.51,1.35,1.17,1.02
,112610.KS,씨에스윈드,KOSPI,45627,15.178,6.55,10.864,15.178,28.109,41.04,,41.04,,,12.42,8.13,7.75,6.55,0.08278641141959163,Sales (3),0.21032641566366908,0.2200934576833904,0.08278641141959163,0.21994824392020665,0.1538506141073453,0.33920235776225066,0.24607740908922993,0.3343839957061331,0.27199461199523595,0.41358553458343433,0.20541444526924027,0.14707697725724084,0.2511064494483407,2.09,1.02,1.555,2.09,2.665,3.24,,3.1,3.24,3.24,1.51,1.35,1.17,1.02
