Unnamed: 0,Unnamed: 1,Corp,NVO,Novo-Nordisk ADR repsg 1 B,NVO.1,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
,Novo-Nordisk ADR repsg 1 B,,NYSE,건강관리,,45627,,,,,,,,,,,,,,,
,NVO,,,Pharmaceuticals,,,,,,,Date,FY 0,FY-4,FY-3,FY-2,FY-1,FY 0,FY+1,FY+2,FY+3,Price
,  ,,,,,,,,,,45933,45627,1.38,1.65,1.73,2.7,3.28,3.72,4.08,4.54,59.63
,  ,,,,,,,,,,45926,45627,1.38,1.65,1.73,2.7,3.28,3.78,4.09,4.58,55.61
,  ,,,,,,,,,,45919,45627,1.38,1.65,1.73,2.7,3.28,3.81,4.13,4.63,61.4
,  ,,,,,,,,,,45912,45627,1.38,1.65,1.73,2.7,3.28,3.81,4.19,4.72,54.87
,  ,,,,,,,,,,45905,45627,1.38,1.65,1.73,2.7,3.28,3.86,4.18,4.71,55.23
,  ,,,,,,,,,,45898,45627,1.38,1.65,1.73,2.7,3.28,3.87,4.19,4.72,56.46
,  ,,,,,,,,,,45891,45627,1.38,1.65,1.73,2.7,3.28,3.85,4.16,4.67,56.98
,  ,,,,,,,,,,45884,45627,1.38,1.65,1.73,2.7,3.28,3.89,4.25,4.75,52.41
,  ,,,,,,,,,,45877,45627,1.38,1.65,1.73,2.7,3.28,3.88,4.35,4.87,51.08
,  ,,,,,,,,,,45870,45627,1.38,1.65,1.73,2.7,3.28,3.9,4.42,4.92,48.19
,  ,,,,,,,,,,45863,45627,1.38,1.65,1.73,2.7,3.28,4.08,4.71,5.33,71.7
,  ,,,,,,,,,,45856,45627,1.38,1.65,1.73,2.7,3.28,4.05,4.68,5.28,64.31
,  ,,,,,,,,,,45849,45627,1.38,1.65,1.73,2.7,3.28,4.09,4.75,5.36,68.93
,  ,,,,,,,,,,45841,45627,1.38,1.65,1.73,2.7,3.28,4.13,4.79,5.41,69.17
,  ,,,,,,,,,,45835,45627,1.38,1.65,1.73,2.7,3.28,4.1,4.77,5.37,68.51
,  ,,,,,,,,,,45828,45627,1.38,1.65,1.73,2.7,3.28,4.04,4.72,5.31,73.77
,  ,,,,,,,,,,45821,45627,1.38,1.65,1.73,2.7,3.28,4.08,4.83,5.43,79.83
,  ,,,,,,,,,,45814,45627,1.38,1.65,1.73,2.7,3.28,4.03,4.77,5.36,74.63
,  ,,,,,,,,,,45807,45627,1.38,1.65,1.73,2.7,3.28,4.01,4.74,5.33,71.5
,,2020/12,2021/12,2022/12,2023/12,2024/12,2025/12(E),2026/12(E),2027/12(E),,45800,45627,1.38,1.65,1.73,2.7,3.28,3.99,4.74,5.3,67.35
,,,,,,,,[단위: USD mn],,,45793,45627,1.38,1.65,1.73,2.7,3.28,3.98,4.76,5.33,64.37
,매출액,19454,22395,25058,33721,42131,49419,52444,56856,,45786,45627,1.38,1.65,1.73,2.7,3.28,3.98,4.81,5.41,65.77
,영업이익,8294,9328,10594,14892,18619,20862,22980,25267,,45779,45627,1.38,1.65,1.73,2.7,3.28,4.02,4.86,5.48,69.23
,당기순이익,6457,7596,7863,12150,14651,16587,18078,19636,,45772,45627,1.38,1.65,1.73,2.7,3.28,4.04,4.9,5.54,62.08
,EPS ($),1.38,1.65,1.73,2.7,3.28,3.72,4.08,4.54,,45764,45627,1.38,1.65,1.73,2.7,3.28,4.05,4.91,5.56,58.08
,,,,,,,,,,,45758,45627,1.38,1.65,1.73,2.7,3.28,4.04,4.91,5.58,64.73
,,,,,,,,,,,45751,45627,1.38,1.65,1.73,2.7,3.28,3.97,4.84,5.5,62.55
,,,,,,,,,,,45744,45627,1.38,1.65,1.73,2.7,3.28,3.94,4.8,5.42,69.3
,,,,,,,,,,,45737,45627,1.38,1.65,1.73,2.7,3.28,3.96,4.87,5.5,76.86
,,,,,,,,,,,45730,45627,1.38,1.65,1.73,2.7,3.28,3.97,4.89,5.45,77.15
,,,,,,,,,,,45723,45627,1.38,1.65,1.73,2.7,3.28,3.95,4.84,5.39,87.17
,,,,,,,,,,,45716,45627,1.38,1.65,1.73,2.7,3.28,3.84,4.71,5.22,90.65
,,,,,,,,,,,45709,45627,1.38,1.65,1.73,2.7,3.28,3.82,4.7,5.22,88.08
,,,,,,,,,,,45702,45627,1.38,1.65,1.73,2.7,3.28,3.85,4.72,5.25,77.87
,,,,,,,,,,,45695,45627,1.38,1.65,1.73,2.7,0x2a,3.8,4.62,5.16,86.42
,,,,,,,,,,,45688,45261,1.23,1.38,1.65,1.73,2.7,3.14,3.8,4.56,84.45
,,,,,,,,,,,45681,45261,1.23,1.38,1.65,1.73,2.7,3.15,3.85,4.6,87.97
,,,,,,,,,,,45674,45261,1.23,1.38,1.65,1.73,2.7,3.15,3.76,4.31,78.69
,,,,,,,,,,,45667,45261,1.23,1.38,1.65,1.73,2.7,3.18,3.85,4.54,86.26
,,,,,,,,,,,45660,45261,1.23,1.38,1.65,1.73,2.7,3.16,3.86,4.56,87.65
,,,,,,,,,,,45653,45261,1.23,1.38,1.65,1.73,2.7,3.21,3.9,4.63,87.37
,,,,,,,,,,,45646,45261,1.23,1.38,1.65,1.73,2.7,3.2,3.9,4.63,85
,,,,,,,,,,,45639,45261,1.23,1.38,1.65,1.73,2.7,3.22,3.93,4.67,106.95
,,,,,,,,,,,45632,45261,1.23,1.38,1.65,1.73,2.7,3.26,3.98,4.73,110.77
,,,,,,,,,,,45625,45261,1.23,1.38,1.65,1.73,2.7,3.28,3.98,4.74,106.8
,,,,,,,,,,,45618,45261,1.23,1.38,1.65,1.73,2.7,3.26,3.95,4.71,105.06
,,,,,,,,,,,45611,45261,1.23,1.38,1.65,1.73,2.7,3.28,3.97,4.73,101.74
,,,,,,,,,,,45604,45261,1.23,1.38,1.65,1.73,2.7,3.33,4.09,4.84,107.2
,,,,,,,,,,,45597,45261,1.23,1.38,1.65,1.73,2.7,3.37,4.16,4.87,111.94
,,,,,,,,,,,45590,45261,1.23,1.38,1.65,1.73,2.7,3.35,4.15,4.85,113.38
,,,,,,,,,,,45583,45261,1.23,1.38,1.65,1.73,2.7,3.34,4.15,4.85,118.09
,,,,,,,,,,,45576,45261,1.23,1.38,1.65,1.73,2.7,3.37,4.19,4.89,120.04
,,,,,,,,,,,45569,45261,1.23,1.38,1.65,1.73,2.7,3.41,4.23,4.94,115.12
